species,common,col,origin,prevalence,mean_log1p,std_log1p,max_log1p,median_log1p,mean_log1p_nz,mean_count,max_count,role,n_folds,mean_corr,median_corr,std_corr,mean_r2,median_r2,mean_F1_t0_5,mean_F1_best,mean_rmse
Callinectes sapidus_R,Blue Crab (R),4,orig-target,0.19287228837057577,0.25516316,0.62343574,5.6869755,0.0,1.3229643,0.9535557,294.00003,orig-target (target),8.0,0.6475835666599162,0.659381596440925,0.06759495149891931,0.396012915806765,0.4002398751980036,0.10671304956845731,0.8151692281485712,0.45207270630064733
Sciaenops ocellatus_SA,Red Drum (SA),15,orig-target,0.11543793834610994,0.1395295,0.4441321,4.912655,0.0,1.2086971,0.4090075,135.0,orig-target (target),8.0,0.6437277751613704,0.6299525235108236,0.10228224879183262,0.3705516947822223,0.3854100763190341,0.021945137993032986,0.8042572906447663,0.12895499938346863
Centropomus undecimalis_A,Snook (A),5,orig-target,0.10022834774098842,0.17227854,0.6031568,6.398595,0.0,1.7188605,0.9554314,599.99994,orig-target (target),8.0,0.6040054471176312,0.5997578522447256,0.05409881145401171,0.352169425046004,0.3374045879465652,0.08214161027161626,0.7968381016080207,0.38219088711226146
Archosargus probatocephalus_A,Sheepshead (A),2,orig-target,0.11072826618822378,0.1486127,0.48812944,5.627621,0.0,1.3421386,0.5206125,277.00003,orig-target (target),8.0,0.6066291933599743,0.6314881181869623,0.07513055453009596,0.28515901085847817,0.3642896499792839,0.05552209964696928,0.7953148369102381,0.21196525374512665
Cynoscion nebulosus_R,Seatrout (R),8,orig-target,0.11354183656825967,0.15736884,0.5083266,5.609472,0.0,1.3859988,0.5596151,272.0,orig-target (target),8.0,0.6380823920935487,0.6357045510817025,0.07075241893133077,0.3745963933879961,0.3634984351146648,0.07027548768610375,0.7867769229081134,0.23650078174650865
Cynoscion nebulosus_A,Seatrout (A),7,orig-target,0.05256075680965585,0.059406012,0.29458672,6.4216223,0.0,1.1302351,0.19348393,614.0,orig-target (target),8.0,0.481907045968841,0.4968416027252299,0.12350347247561284,0.18554966599538236,0.23266483795555154,0.007238301727184478,0.6858629801884127,0.06356134163672124
Lutjanus griseus_SA,Gray Snapper (SA),12,orig-target,0.036963790572500405,0.055642344,0.33083984,5.888878,0.0,1.5053204,0.2598271,359.99997,orig-target (target),8.0,0.6202206302255526,0.6276712352929373,0.10752218590958075,0.28342535433328636,0.28753426585952974,0.06314528161439659,0.6729022886103184,0.18272198178921029
Lutjanus griseus_R,Gray Snapper (R),11,orig-target,0.01902218235198173,0.023397898,0.19173531,4.4886365,0.0,1.2300324,0.06948295,88.00001,orig-target (target),8.0,0.5615329196088084,0.5514129312688997,0.09132050933748113,0.2568025097717833,0.2512537118487113,0.013215145614383668,0.5316360387773371,0.07204451298538633
Centropomus undecimalis_SA,Snook (SA),6,orig-target,0.02334447887783396,0.026763145,0.19850193,4.8520303,0.0,1.1464443,0.07694504,127.0,orig-target (target),8.0,0.5769563884370561,0.5524619601804115,0.14744233421269032,0.18524012784124944,0.16793432030630912,0.0038241809321406975,0.5036819133861156,0.07499649878928162
Archosargus probatocephalus_R,Sheepshead (R),3,orig-target,0.01039797749143696,0.0121937385,0.13474813,3.8501475,0.0,1.1727029,0.03333469,45.999996,orig-target (target),8.0,0.48895220015440527,0.4754550466446574,0.19894437147601315,-0.36676833635190986,0.18534551592688553,0.0016534961683029262,0.4813230551908638,0.023973433456824327
Sciaenops ocellatus_R,Red Drum (R),14,orig-target,0.026953188713097372,0.044940565,0.3226842,6.8490663,0.0,1.6673564,0.3183616,942.0,orig-target (target),8.0,0.6634598705248952,0.686769717164817,0.11939938665899148,0.35749379630582184,0.32766956904655925,0.035998964682518245,0.4700797077947543,0.28651904564497516
Mycteroperca microlepis_SA,Gag Grouper (SA),13,orig-target,0.006830044038492905,0.009502643,0.12967849,3.871201,0.0,1.3913004,0.031418204,47.0,orig-target (target),8.0,0.5190878582907793,0.3920312564297387,0.2701169891166384,-1.4169312460903902,0.08829526986952968,0.0028713550015383358,0.4332261890125057,0.01811052694280892
